"","zip"
"1","00210"
"2","00211"
"3","00212"
"4","00213"
"5","00214"
"6","00215"
"7","00501"
"8","00544"
"9","00601"
"10","00602"
"11","00603"
"12","00604"
"13","00605"
"14","00606"
"15","00607"
"16","00609"
"17","00610"
"18","00611"
"19","00612"
"20","00613"
"21","00614"
"22","00615"
"23","00616"
"24","00617"
"25","00618"
"26","00622"
"27","00623"
"28","00624"
"29","00625"
"30","00626"
"31","00627"
"32","00631"
"33","00633"
"34","00634"
"35","00635"
"36","00636"
"37","00637"
"38","00638"
"39","00639"
"40","00640"
"41","00641"
"42","00643"
"43","00644"
"44","00645"
"45","00646"
"46","00647"
"47","00648"
"48","00650"
"49","00652"
"50","00653"
"51","00654"
"52","00655"
"53","00656"
"54","00658"
"55","00659"
"56","00660"
"57","00661"
"58","00662"
"59","00664"
"60","00665"
"61","00666"
"62","00667"
"63","00669"
"64","00670"
"65","00671"
"66","00674"
"67","00676"
"68","00677"
"69","00678"
"70","00680"
"71","00681"
"72","00682"
"73","00683"
"74","00685"
"75","00687"
"76","00688"
"77","00690"
"78","00692"
"79","00693"
"80","00694"
"81","00698"
"82","00703"
"83","00704"
"84","00705"
"85","00707"
"86","00714"
"87","00715"
"88","00716"
"89","00717"
"90","00718"
"91","00719"
"92","00720"
"93","00721"
"94","00723"
"95","00725"
"96","00726"
"97","00727"
"98","00728"
"99","00729"
"100","00730"
"101","00731"
"102","00732"
"103","00733"
"104","00734"
"105","00735"
"106","00736"
"107","00737"
"108","00738"
"109","00739"
"110","00740"
"111","00741"
"112","00742"
"113","00744"
"114","00745"
"115","00747"
"116","00748"
"117","00751"
"118","00752"
"119","00754"
"120","00757"
"121","00761"
"122","00762"
"123","00763"
"124","00764"
"125","00765"
"126","00766"
"127","00767"
"128","00768"
"129","00769"
"130","00771"
"131","00772"
"132","00773"
"133","00775"
"134","00777"
"135","00778"
"136","00780"
"137","00782"
"138","00783"
"139","00784"
"140","00785"
"141","00786"
"142","00791"
"143","00792"
"144","00794"
"145","00795"
"146","00801"
"147","00802"
"148","00803"
"149","00804"
"150","00805"
"151","00820"
"152","00821"
"153","00822"
"154","00823"
"155","00824"
"156","00830"
"157","00831"
"158","00840"
"159","00841"
"160","00850"
"161","00851"
"162","00901"
"163","00902"
"164","00906"
"165","00907"
"166","00908"
"167","00909"
"168","00910"
"169","00911"
"170","00912"
"171","00913"
"172","00914"
"173","00915"
"174","00916"
"175","00917"
"176","00918"
"177","00919"
"178","00920"
"179","00921"
"180","00922"
"181","00923"
"182","00924"
"183","00925"
"184","00926"
"185","00927"
"186","00928"
"187","00929"
"188","00930"
"189","00931"
"190","00933"
"191","00934"
"192","00935"
"193","00936"
"194","00937"
"195","00938"
"196","00939"
"197","00940"
"198","00949"
"199","00950"
"200","00951"
"201","00952"
"202","00953"
"203","00954"
"204","00955"
"205","00956"
"206","00957"
"207","00958"
"208","00959"
"209","00960"
"210","00961"
"211","00962"
"212","00963"
"213","00965"
"214","00966"
"215","00968"
"216","00969"
"217","00970"
"218","00971"
"219","00975"
"220","00976"
"221","00977"
"222","00978"
"223","00979"
"224","00981"
"225","00982"
"226","00983"
"227","00984"
"228","00985"
"229","00986"
"230","00987"
"231","00988"
"232","01001"
"233","01002"
"234","01003"
"235","01004"
"236","01005"
"237","01007"
"238","01008"
"239","01009"
"240","01010"
"241","01011"
"242","01012"
"243","01013"
"244","01014"
"245","01020"
"246","01021"
"247","01022"
"248","01026"
"249","01027"
"250","01028"
"251","01029"
"252","01030"
"253","01031"
"254","01032"
"255","01033"
"256","01034"
"257","01035"
"258","01036"
"259","01037"
"260","01038"
"261","01039"
"262","01040"
"263","01041"
"264","01050"
"265","01053"
"266","01054"
"267","01056"
"268","01057"
"269","01059"
"270","01060"
"271","01061"
"272","01062"
"273","01063"
"274","01066"
"275","01068"
"276","01069"
"277","01070"
"278","01071"
"279","01072"
"280","01073"
"281","01074"
"282","01075"
"283","01077"
"284","01079"
"285","01080"
"286","01081"
"287","01082"
"288","01083"
"289","01084"
"290","01085"
"291","01086"
"292","01088"
"293","01089"
